CustomerID,churn_probability,churn_risk_label,churned
10078,0.0045917076,Low,0
10079,6.017835e-05,Low,0
10080,0.00013473789,Low,0
10081,0.00021377989,Low,0
10082,0.00049666874,Low,0
10083,8.5049636e-05,Low,0
10084,0.00029937993,Low,0
10085,0.0014702883,Low,0
10086,0.0017386739,Low,0
10087,0.000117475436,Low,0
10088,0.034860335,Low,0
10089,0.000661369,Low,0
10090,0.0017276289,Low,0
10091,0.0015088294,Low,0
10092,0.00018353695,Low,0
10093,9.539499e-05,Low,0
10094,0.0011456808,Low,0
10095,0.0003996508,Low,0
10096,0.0008251628,Low,0
10097,0.00036892624,Low,0
10098,0.00031683658,Low,0
10099,0.00051169086,Low,0
10100,0.00015216514,Low,0
10101,0.00044263367,Low,0
10102,0.0022112317,Low,0
10103,0.00013835827,Low,0
10104,0.0011758265,Low,0
10105,0.0007975804,Low,0
10106,0.00046877336,Low,0
10107,3.5875288e-05,Low,0
10108,0.00013251384,Low,0
10109,0.0014937693,Low,0
10110,0.0005541542,Low,0
10111,0.0005866555,Low,0
10112,0.0012996274,Low,0
10113,0.0012342181,Low,0
10114,0.0006002809,Low,0
10115,0.00021005225,Low,0
10116,0.00077952765,Low,0
10117,0.0009783868,Low,0
10118,0.00023831484,Low,0
10119,0.0004718085,Low,0
10120,0.0010575756,Low,0
10121,0.00027330965,Low,0
10122,4.4581437e-05,Low,0
10123,0.0013851653,Low,0
10124,0.00018491076,Low,0
10125,0.00023689441,Low,0
10126,0.044938754,Low,0
10127,0.0010861895,Low,0
10128,0.00017605921,Low,0
10129,0.0017305689,Low,0
10130,0.0005358832,Low,0
10131,0.00019880953,Low,0
10132,0.0001973897,Low,0
10133,0.00240636,Low,0
10134,0.004432675,Low,0
10135,0.00084582594,Low,0
10136,0.0001445132,Low,0
10137,0.14815688,Low,0
10138,0.006930409,Low,0
10139,0.0013478575,Low,0
10140,0.27982584,Low,0
10141,0.06148859,Low,0
10142,0.00014365479,Low,0
10143,6.0385817e-05,Low,0
10144,0.00026865647,Low,0
10145,9.090575e-05,Low,0
10146,0.0006593836,Low,0
10147,0.00039455947,Low,0
10148,0.002164634,Low,0
10149,0.0064852396,Low,0
10150,0.99277437,High,1
10151,6.770863e-05,Low,0
10152,0.0005906468,Low,0
